Country,Continent,ISO_Code,Level,GDLCODE,Region,"1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Afghanistan","Asia/Pacific","AFG","National","AFGt","Total",0.971,1.019,1.068,1.116,1.164,1.212,1.251,1.290,1.330,1.369,1.408,1.465,1.523,1.580,1.637,1.695,1.777,1.859,1.941,2.023,2.105,2.157,2.209,2.262,2.314,2.366,2.464,2.561,2.659,2.757,2.855,2.985
"Albania","Europe","ALB","National","ALBt","Total",7.355,7.353,7.351,7.349,7.347,7.345,7.627,7.909,8.191,8.472,8.754,8.824,8.888,8.953,9.018,9.083,9.147,9.212,9.277,9.452,9.627,9.802,10.03,10.20,10.37,10.55,10.73,10.91,11.10,11.29,11.29,11.29
"Algeria","Africa","DZA","National","DZAt","Total",4.615,4.830,5.046,5.262,5.477,5.693,5.876,6.059,6.242,6.425,6.608,6.695,6.783,6.870,6.957,7.045,7.269,7.328,7.386,7.446,7.506,7.567,7.628,7.689,7.751,7.814,7.877,7.941,8.005,8.069,8.069,8.069
"Andorra","Europe","AND","National","ANDt","Total",,,,,,,,,,,9.806,9.892,9.978,10.07,10.70,10.09,10.41,10.44,10.47,10.50,10.53,10.56,10.59,10.62,10.65,10.57,10.56,10.56,10.56,10.56,10.56,10.56
"Angola","Africa","AGO","National","AGOt","Total",,,,,,,,,,3.394,3.425,3.464,3.504,3.545,3.585,3.626,3.666,3.707,3.748,3.788,3.829,3.869,3.910,3.950,3.991,4.704,5.417,5.417,5.417,5.417,5.417,5.417
"Antigua and Barbuda","America","ATG","National","ATGt","Total",,,,,,,,,,,,,,,,9.118,9.170,9.221,9.273,9.325,9.236,8.990,9.035,9.080,9.126,9.171,9.217,9.263,9.294,9.294,9.294,9.294
"Argentina urban","America","ARG","National","ARGt","Total",8.126,8.193,8.260,8.328,8.395,8.463,8.530,8.597,8.665,8.732,8.800,8.867,9.391,9.915,10.01,10.10,10.19,10.30,10.41,10.54,10.60,10.70,10.79,10.90,10.91,10.92,10.93,11.02,11.11,11.15,11.15,11.15
"Armenia","Europe","ARM","National","ARMt","Total",9.782,9.852,9.921,9.991,10.06,10.13,10.20,10.28,10.35,10.42,10.49,10.49,10.56,10.63,10.70,10.77,10.84,10.91,10.98,11.05,11.12,11.20,11.29,11.38,11.48,11.57,11.38,11.19,11.24,11.28,11.33,11.33
"Australia","Asia/Pacific","AUS","National","AUSt","Total",11.23,11.25,11.27,11.29,11.32,11.34,11.33,11.32,11.31,11.30,11.29,11.34,11.40,11.46,11.51,11.55,11.65,11.71,11.94,11.99,12.03,12.12,12.30,12.02,12.17,12.25,12.35,12.42,12.55,12.66,12.73,12.73
"Austria","Europe","AUT","National","AUTt","Total",10.20,10.29,10.38,10.47,10.56,10.65,10.74,10.83,10.93,11.02,11.11,11.20,11.29,11.38,11.47,11.56,11.55,11.53,11.47,11.67,11.72,11.71,11.75,11.79,12.01,12.08,12.12,12.16,12.21,12.26,12.26,12.26
"Azerbaijan","Europe","AZE","National","AZEt","Total",,,,,,9.921,9.986,10.05,10.12,10.18,10.25,10.32,10.38,10.45,10.52,10.58,10.65,10.72,10.73,10.45,10.47,10.47,10.47,10.48,10.48,10.48,10.56,10.55,10.54,10.54,10.54,10.54
"Bahamas","America","BHS","National","BHSt","Total",,,,,,,,,,,11.04,11.12,11.20,11.29,11.37,11.45,11.53,11.62,11.70,11.78,11.86,11.95,12.03,12.12,12.20,12.29,12.38,12.46,12.55,12.64,12.64,12.64
"Bahrain","Asia/Pacific","BHR","National","BHRt","Total",5.108,5.388,5.682,5.977,6.272,6.567,6.862,7.156,7.451,7.746,8.041,8.335,8.302,8.268,8.234,8.201,8.167,8.133,8.100,8.066,8.032,8.247,8.462,8.677,8.892,9.107,9.322,9.586,10.55,10.80,11.05,11.05
"Bangladesh","Asia/Pacific","BGD","National","BGDt","Total",3.295,3.399,3.504,3.608,3.712,3.817,3.910,4.002,4.095,4.188,4.281,4.397,4.477,4.557,4.637,4.718,4.798,4.878,4.958,5.038,5.119,5.199,5.302,5.065,5.194,5.986,6.114,6.270,6.386,6.550,7.379,7.379
"Barbados","America","BRB","National","BRBt","Total",8.369,8.500,8.630,8.761,8.891,9.022,9.016,9.010,9.003,8.997,8.991,9.097,9.202,9.308,9.414,9.519,9.546,9.573,9.600,9.627,9.654,9.662,9.670,9.679,9.687,9.695,9.735,9.774,9.813,9.853,9.853,9.853
"Belarus","Europe","BLR","National","BLRt","Total",,,,,,9.957,10.04,10.12,10.21,10.30,10.38,10.47,10.56,10.64,10.73,10.82,10.91,11.01,11.10,11.19,11.29,11.38,11.48,11.57,11.67,11.76,11.86,11.95,12.05,12.14,12.14,12.14
"Belgium","Europe","BEL","National","BELt","Total",9.407,9.547,9.688,9.829,9.969,10.11,10.20,10.28,10.37,10.46,10.54,10.64,10.74,10.84,10.93,11.03,11.05,11.12,11.18,11.32,11.42,11.47,11.50,11.54,11.64,11.89,11.99,12.24,12.31,12.38,12.38,12.38
"Belize","America","BLZ","National","BLZt","Total",5.451,5.618,5.790,5.963,6.135,6.307,6.479,6.651,6.823,6.995,7.168,7.340,7.512,7.684,7.856,8.028,8.520,9.011,9.503,9.995,10.49,10.32,10.16,9.995,9.831,9.667,9.503,9.339,9.175,9.011,8.848,8.848
"Benin","Africa","BEN","National","BENt","Total",1.459,1.535,1.615,1.699,1.784,1.868,1.952,2.037,2.121,2.205,2.290,2.374,2.459,2.520,2.582,2.644,2.715,2.786,2.857,2.927,2.998,3.142,3.285,3.429,3.572,3.716,3.863,4.010,4.158,4.305,4.305,4.305
"Bhutan","Asia/Pacific","BTN","National","BTNt","Total",,,,,,,,,,,,,,,,,,,,,2.306,2.262,2.218,2.586,2.954,3.322,3.690,4.058,4.581,5.170,5.170,5.170
"Bolivia","America","BOL","National","BOLt","Total",5.994,6.101,6.211,6.322,6.434,6.545,6.657,6.768,6.880,6.991,7.103,7.214,7.152,7.091,7.029,6.967,6.905,7.052,7.200,7.482,7.712,7.943,8.174,8.426,8.677,8.929,9.163,9.397,9.630,9.864,9.828,9.828
