,LR,Momentum,accuracy
1,0.001,0.2,0.478220311
1,0.001,0.2,0.477985017
1,0.001,0.2,0.478220311
1,0.001,0.2,0.477985017
1,0.001,0.2,0.478220311
1,0.001,0.2,0.477985017
1,0.001,0.2,0.477985017
1,0.001,0.2,0.477985017
1,0.001,0.2,0.478067311
1,0.001,0.2,0.477985017
1,0.001,0.2,0.478108213
4,0.001,0.5,0.477985017
4,0.001,0.5,0.477985017
4,0.001,0.5,0.477984462
4,0.001,0.5,0.477749723
4,0.001,0.5,0.478220866
4,0.001,0.5,0.478926748
4,0.001,0.5,0.478220311
4,0.001,0.5,0.477985572
4,0.001,0.5,0.478279175
4,0.001,0.5,0.477985017
4,0.001,0.5,0.478108213
7,0.001,0.9,0.510244173
7,0.001,0.9,0.517783574
7,0.001,0.9,0.515425083
7,0.001,0.9,0.512353496
7,0.001,0.9,0.514238624
7,0.001,0.9,0.508125971
7,0.001,0.9,0.515897336
7,0.001,0.9,0.515426193
7,0.001,0.9,0.513669977
7,0.001,0.9,0.508120977
7,0.001,0.9,0.511300777
2,0.01,0.2,0.513305771
2,0.01,0.2,0.512599334
2,0.01,0.2,0.516602664
2,0.01,0.2,0.516826304
2,0.01,0.2,0.511885683
2,0.01,0.2,0.510243618
2,0.01,0.2,0.51236515
2,0.01,0.2,0.512834073
2,0.01,0.2,0.513672226
2,0.01,0.2,0.509297447
2,0.01,0.2,0.508478912
5,0.01,0.5,0.515422309
5,0.01,0.5,0.513072142
5,0.01,0.5,0.516602664
5,0.01,0.5,0.517300777
5,0.01,0.5,0.512358491
5,0.01,0.5,0.508836848
5,0.01,0.5,0.513536626
5,0.01,0.5,0.51495172
5,0.01,0.5,0.516848393
5,0.01,0.5,0.510946171
5,0.01,0.5,0.509421754
8,0.01,0.9,0.519653163
8,0.01,0.9,0.529316315
8,0.01,0.9,0.5241404
8,0.01,0.9,0.526251942
8,0.01,0.9,0.52695172
8,0.01,0.9,0.523188124
8,0.01,0.9,0.526255272
8,0.01,0.9,0.522716426
8,0.01,0.9,0.525539332
8,0.01,0.9,0.518477248
8,0.01,0.9,0.519537736
3,0.1,0.2,0.52059545
3,0.1,0.2,0.524603219
3,0.1,0.2,0.528600444
3,0.1,0.2,0.52436293
3,0.1,0.2,0.525306326
3,0.1,0.2,0.520602109
3,0.1,0.2,0.522715316
3,0.1,0.2,0.523663152
3,0.1,0.2,0.527441164
3,0.1,0.2,0.523664817
3,0.1,0.2,0.518839068
6,0.1,0.5,0.516596004
6,0.1,0.5,0.52931465
6,0.1,0.5,0.529552164
6,0.1,0.5,0.521070477
6,0.1,0.5,0.52554162
6,0.1,0.5,0.512122642
6,0.1,0.5,0.522014983
6,0.1,0.5,0.515187014
6,0.1,0.5,0.516203804
6,0.1,0.5,0.520833518
6,0.1,0.5,0.52095394
9,0.1,0.9,0.500350166
9,0.1,0.9,0.486203108
9,0.1,0.9,0.491895671
9,0.1,0.9,0.493984462
9,0.1,0.9,0.512358491
9,0.1,0.9,0.501536626
9,0.1,0.9,0.50599556
9,0.1,0.9,0.487183685
9,0.1,0.9,0.491852442
9,0.1,0.9,0.490700333
9,0.1,0.9,0.512478357
